name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
singapore,2024-03-05,31.6,24.4,26.7,38.1,24.4,28.1,24.4,88.4,31.71,100,12.5,rain,0,0,19.8,14.5,23.7,1010.1,78.3,8.2,227.6,19.8,9,30,2024-03-05T07:13:15,2024-03-05T19:18:53,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-03-06,32.5,25,27.3,39.1,25,30,24.4,85.2,14.871,100,12.5,rain,0,0,17.6,16.6,42.6,1009.2,82.8,9.6,278.4,24.2,10,30,2024-03-06T07:12:59,2024-03-06T19:18:41,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-03-07,33.5,26.1,27.9,40.1,26.1,30.3,24.9,84.9,0.438,100,8.33,rain,0,0,22,15.8,20,1008.4,85,8.5,176.7,15.3,7,30,2024-03-07T07:12:42,2024-03-07T19:18:29,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-03-08,31,24.9,27.4,36.5,24.9,30.2,24.8,86.4,35.274,100,8.33,rain,0,0,19.1,11.5,347.2,1009.6,87.4,9.3,114.8,9.8,5,10,2024-03-08T07:12:25,2024-03-08T19:18:16,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WIDD,WSSL,WMKJ"
singapore,2024-03-09,32.6,26,28.6,37.4,26,31.1,23.3,74.4,43.236,100,4.17,rain,0,0,23,16.8,31.2,1009.8,83.5,10.1,202.2,17.4,9,30,2024-03-09T07:12:08,2024-03-09T19:18:03,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-03-10,31.6,26.6,28.5,37.4,26.6,32.1,23.9,76.5,0,0,0,rain,0,0,33.8,23,359.9,1011,86.1,9.6,226.9,19.5,9,30,2024-03-10T07:11:51,2024-03-10T19:17:49,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-03-11,33.4,26.6,29.2,37.1,26.6,32.1,22.5,68.5,0,0,0,rain,0,0,36.4,19.1,1.8,1011.9,84.2,10,183.8,15.9,10,10,2024-03-11T07:11:33,2024-03-11T19:17:36,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-03-12,33,27.6,29.4,37.3,30.6,33,22.9,68.6,0,0,0,rain,0,0,31,21.7,357.3,1012.1,87.8,10.1,224.7,19.4,10,10,2024-03-12T07:11:15,2024-03-12T19:17:22,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-03-13,34.1,25.9,29.4,36.6,25.9,31.6,21.9,65.5,0,0,0,rain,0,0,36.4,18.9,1.5,1011.9,81.8,10.1,309.7,26.7,10,10,2024-03-13T07:10:56,2024-03-13T19:17:07,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WSSL"
singapore,2024-03-14,33.8,25.9,29.2,39.1,25.9,32.2,23.1,70.6,0,0,0,rain,0,0,38.2,20.9,9.8,1011.2,89,10,265,22.6,10,30,2024-03-14T07:10:38,2024-03-14T19:16:53,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-03-15,32,25.9,28.7,36.2,25.9,31.5,22.7,71,0,0,0,rain,0,0,30.2,20,19.9,1011.6,85,10.1,245.2,21.3,10,10,2024-03-15T07:10:19,2024-03-15T19:16:38,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-03-16,33.5,25.9,29,38.2,25.9,31.8,22.9,70.5,0,0,0,rain,0,0,27.7,23.1,20.6,1011.9,88.9,10.1,200.5,17.2,8,30,2024-03-16T07:10:00,2024-03-16T19:16:23,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-03-17,34.5,25.7,29.7,39.7,25.7,33.4,23.3,69.4,0,0,0,rain,0,0,37.1,22.5,9.8,1010.8,82.7,10.1,288.5,25.1,10,30,2024-03-17T07:09:40,2024-03-17T19:16:08,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-03-18,34.5,26.5,29.8,38.7,26.5,33.4,22.9,67.7,0,0,0,rain,0,0,31.3,19.8,14.3,1010.2,87.5,10.2,285.9,24.7,10,60,2024-03-18T07:09:21,2024-03-18T19:15:53,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-03-19,33.5,27,29.2,38.4,30.1,33.6,23.9,73.9,0,0,0,rain,0,0,32.4,19.9,21.6,1010.6,79.5,10.1,254.4,22.1,10,30,2024-03-19T07:09:01,2024-03-19T19:15:37,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-03-20,32.3,26.7,29.2,37.2,29.2,33.3,23.5,71.7,0,0,0,rain,0,0,36.4,22.9,16.8,1011.2,83.5,10.1,259,22.4,10,30,2024-03-20T07:08:41,2024-03-20T19:15:22,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WIDD,WSSL,WMKJ"
singapore,2024-03-21,31.7,27,28.9,36.8,29.9,32.9,23.5,73.2,0,0,0,rain,0,0,37.8,19.2,19.4,1010.6,79.4,10,216.6,18.8,9,30,2024-03-21T07:08:21,2024-03-21T19:15:06,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-03-22,33.3,26.1,29.3,37.3,26.1,32.4,22.8,69.3,0,0,0,,0,0,28.8,20,28.9,1008.8,89,10.1,267.7,23.2,10,10,2024-03-22T07:08:01,2024-03-22T19:14:50,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-03-23,34.5,26.1,29.8,39.6,26.1,33.2,22.8,67.6,1.186,100,4.17,rain,0,0,27,16.5,36.2,1009.2,88.3,10.1,314,27.2,10,30,2024-03-23T07:07:41,2024-03-23T19:14:34,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-03-24,34.2,26.1,29.8,39.7,26.1,34,23.5,69.8,0,0,0,rain,0,0,26.6,19.6,37.1,1010.5,89.1,10.1,298.1,25.8,10,30,2024-03-24T07:07:21,2024-03-24T19:14:18,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-03-25,34.5,26.7,30,39.4,29.4,34.2,23.4,69,0,0,0,,0,0,31,20.9,31.7,1010.2,81.6,10.1,292.6,25.2,10,30,2024-03-25T07:07:00,2024-03-25T19:14:03,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-03-26,34.5,27,30.2,39.3,30.4,34.8,23.7,69.2,0.132,100,4.17,rain,0,0,35.3,22.7,26.2,1011.3,87.3,10,276,23.9,10,15,2024-03-26T07:06:40,2024-03-26T19:13:47,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WIDD,WSSL,WMKJ"
singapore,2024-03-27,35.1,26.9,30.1,39.5,30.1,34.4,23.6,69.7,0,0,0,rain,0,0,28.1,20.2,23.6,1012.4,85.3,10.1,221.8,19.1,10,30,2024-03-27T07:06:20,2024-03-27T19:13:31,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,48679099999,WSAP,48694099999,WSSS,96087099999,48699099999,WIDD,WSSL,WMKJ"
singapore,2024-03-28,33.5,27.4,29.9,39,31.2,34.7,24.1,71.8,6.7,100,54.17,rain,0,0,37.1,19.7,47.8,1011.3,81.6,10,296,25.7,10,30,2024-03-28T07:06:00,2024-03-28T19:13:15,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WIDD,WSSL,WMKJ"
singapore,2024-03-29,34.8,27.5,30.3,39.1,31.7,35.1,23.8,69.4,2.1,100,33.33,rain,0,0,42.5,19.4,66.8,1010.8,81.7,10,277.7,24.1,9,30,2024-03-29T07:05:39,2024-03-29T19:12:59,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WSAP,WSSS,WIDD,WSSL,WMKJ"
singapore,2024-03-30,33.9,27.8,30.2,39.8,32.2,35.2,24.1,70.8,4.9,100,33.33,rain,0,0,44.6,20.4,57.2,1012.1,82.7,10,293.3,25.3,10,30,2024-03-30T07:05:19,2024-03-30T19:12:43,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WSAP,WSSS,WIDD,WSSL,WMKJ"
singapore,2024-03-31,32.7,27.2,29.2,38.8,30.8,34.3,24.6,76.6,5.4,100,37.5,rain,0,0,16.6,13.2,33.6,1011.9,76.4,9.9,297.5,25.7,10,30,2024-03-31T07:04:59,2024-03-31T19:12:28,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WSAP,WSSS,WIDD,WSSL,WMKJ"
