name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
singapore,2024-01-16,30.6,24,27,36,24,28.8,24.1,84.5,0.906,100,12.5,rain,0,0,37.4,17.8,356.6,1009.8,89,9.4,222.5,19.2,7,30,2024-01-16T07:12:32,2024-01-16T19:15:43,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-01-17,31.2,25,27.6,36.3,25,30.3,24.1,81.9,18.628,100,12.5,rain,0,0,38.2,25.4,15.7,1009.2,74.5,9.5,265.7,22.9,9,30,2024-01-17T07:12:52,2024-01-17T19:16:04,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-01-18,30.1,26,27.3,35.7,26,29.2,24.1,83.3,4.457,100,12.5,rain,0,0,37.4,20.3,351.8,1009.6,86.1,9,193,16.6,9,30,2024-01-18T07:13:11,2024-01-18T19:16:25,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-01-19,30.6,24.8,26.6,35.1,24.8,27.8,23.9,85.7,2.479,100,8.33,rain,0,0,34.2,20.8,350.8,1009.7,86.4,9,41.5,3.7,2,10,2024-01-19T07:13:29,2024-01-19T19:16:45,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-01-20,26,24,24.8,26,24,24.8,23.3,91.4,29.267,100,12.5,rain,0,0,44.3,10.2,333.2,1011,93.1,8.5,36,2.9,1,10,2024-01-20T07:13:47,2024-01-20T19:17:05,0.3,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-01-21,32.2,23.1,26.8,35.9,23.1,28.7,22.8,80.1,4.862,100,4.17,rain,0,0,35.3,19.5,14.1,1011.2,77.1,9.9,278.1,24.1,10,10,2024-01-21T07:14:03,2024-01-21T19:17:24,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-01-22,31,25,27.9,36.4,25,30.6,23.7,78.6,11.634,100,4.17,rain,0,0,24.1,13.1,26.7,1011.5,88.9,10.1,286,24.6,10,30,2024-01-22T07:14:19,2024-01-22T19:17:42,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-01-23,32.7,24,27.1,38.3,24,28.8,23.9,83.6,1.845,100,8.33,rain,0,0,25.9,12.5,8.2,1012.2,84.3,9.5,281.6,24.3,10,30,2024-01-23T07:14:35,2024-01-23T19:17:59,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,WSSS,48699099999,WSSL"
singapore,2024-01-24,29.6,24.9,26.7,36.2,24.9,28.8,24.6,88.9,47.96,100,12.5,rain,0,0,28.4,18.9,22.5,1012.4,83.6,7.8,208.5,18.1,9,30,2024-01-24T07:14:49,2024-01-24T19:18:16,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
singapore,2024-01-25,29.9,24.3,25.8,35.1,24.3,26.7,24,90.3,32.682,100,12.5,rain,0,0,31.7,16.2,10.6,1013.6,80,8.7,225,19.4,9,30,2024-01-25T07:15:02,2024-01-25T19:18:31,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,48679099999,WSAP,48694099999,48699099999,WSSL"
